DISTRICT,DEM_VOTES,REP_VOTES,TOTAL_VOTES,DEM_SHARE
1,194042.87777737505,153880.418198486,347923.295975861,0.5577174050191734
2,257868.40653444457,161863.8112590177,419732.2177934623,0.6143641007356122
3,203665.92740070415,167057.1743247079,370723.10172541207,0.5493747933506336
4,192581.86725804105,142435.20879314473,335017.0760511858,0.574841943962932
5,139134.2748429443,212812.21447836256,351946.4893213068,0.39532792360353036
6,176719.84370292662,148500.31878112783,325220.16248405445,0.5433852635492462
7,195180.46457143826,153045.832073462,348226.2966449002,0.5604989239812389
8,219841.8725750698,115064.21026849939,334906.0828435692,0.6564284252721543
9,163230.05050734463,127232.09215270872,290462.14266005333,0.561966695599238
10,253428.1337860568,124257.20330138889,377685.33708744566,0.671003369472563
11,295451.103173275,50867.646183598416,346318.74935687345,0.853118994342462
12,281535.2753702809,35168.86906414065,316704.14443442156,0.8889535559222121
13,151794.635911203,131111.31165607844,282905.94756728143,0.5365551244733121
14,186874.23870597148,87536.36861537721,274410.6073213487,0.6810022416047945
15,220590.64265638866,74240.73763716068,294831.38029354933,0.748192551406018
16,249174.20213425366,83229.51065687557,332403.71279112925,0.7496131738180251
17,183834.5538055406,77985.34958083795,261819.90338637854,0.7021412483459987
18,159917.91236596295,92061.97274229454,251979.8851082575,0.6346455483827919
19,252016.99244487588,124017.99962400709,376034.992068883,0.6701955875391268
20,107996.75466684652,219103.71493880765,327100.4696056542,0.3301638631000599
21,103933.36237127536,91715.12882683832,195648.49119811368,0.531224962353696
22,81082.92896189357,84330.32780777397,165413.25676966755,0.4901839825014681
23,109487.48978362327,162989.29814661646,272476.78793023975,0.40182318139941725
24,216428.4548055432,127078.76025086782,343507.21505641105,0.63005504781028
25,140764.10821887857,124732.88661251568,265496.99483139423,0.5301909662226942
26,192668.1929766855,140373.4748033869,333041.6677800724,0.5785107739248891
27,157130.2938010334,128859.29541400437,285989.58921503776,0.5494266215504996
28,201058.82294122237,117683.04161617179,318741.8645573942,0.6307888774523335
29,156346.57380624302,75357.09799954049,231703.67180578352,0.674769513092975
30,234899.9241888619,98036.76604148136,332936.69023034326,0.7055393144755109
31,159377.8259820552,123809.55929808009,283187.38528013526,0.5627998783363711
32,220572.8149257822,130362.59824139481,350935.413167177,0.6285282324035698
33,131398.6989468512,106767.64784651053,238166.3467933617,0.5517097638519667
34,156727.0858479608,48087.36595658324,204814.45180454405,0.7652149761264241
35,136697.58558239127,116440.7491331744,253138.33471556567,0.5400113962825467
36,261862.65220796346,111081.30773744194,372943.95994540537,0.702150136031958
37,184972.38494539433,42959.81207710022,227932.19702249454,0.8115237222371856
38,146137.10971483187,112527.22532908045,258664.33504391232,0.5649681456472258
39,125008.73994858822,102491.16123429529,227499.9011828835,0.5494892054836353
40,162333.63740516664,208964.48544320665,371298.12284837326,0.4372056507041882
41,173151.2210512637,128649.9078505174,301801.1289017811,0.573726220578898
42,192247.4145970251,146320.3724900204,338567.7870870455,0.5678254752204127
43,162879.66604876364,53446.08724953249,216325.75329829613,0.7529370108059462
44,144561.68221038082,67529.19434153356,212090.87655191438,0.6816025496268617
45,152677.89394996918,140776.41766958512,293454.3116195543,0.520278244021532
46,128842.98342204632,91954.08766836893,220797.07109041524,0.5835357452241103
47,190227.4400400895,154137.2708469066,344364.7108869961,0.5524010853205948
48,166819.41851159348,156904.64809225115,323724.06660384464,0.5153136134167551
49,213199.06388342503,166512.28653945724,379711.35042288224,0.5614766681216838
50,217219.9199767394,148074.69659437845,365294.61657111783,0.5946430911457181
51,208506.72080207942,146740.2083172323,355246.92911931174,0.5869346184609839
52,162846.2876156014,112848.28074601646,275694.56836161786,0.5906764452537282
